ChemicalID,GeneSymbol
C554291,CASP3
C554291,CASP8
C554291,CASP9
C554291,DIABLO
C554291,FADD
C554291,FAS
C554291,FASLG
C554291,XIAP
C521487,ABCC1
C532626,CHRM1
C557705,EPHX2
C432747,CNR2
C432747,IL10
C432747,MAP3K7
C519817,HRH3
C530925,TRPV1
C501656,HTR2C
C014843,AHR
C014843,DRD3
C504317,HTR1A
C494034,ADORA2A
C087630,VDR
C097949,CDC25A
C097949,HDAC2
C097949,MED1
C097949,MXD1
C097949,MYC
C097949,RXRA
C097949,SIN3A
C097949,VDR
C569107,ANAPC2
C569107,CCAR1
C569107,H2AX
C472829,IKBKB
C472829,JAK1
D014013,GAPDH
D014013,NOS3
C568514,SLC6A2
C058895,HTR1A
C420062,HCRTR1
C509503,RPE65
C404207,HTR1A
C404207,SIGMAR1
C000603962,HMGB1
C000603962,LY96
C000603962,NOX4
C000603962,TLR4
C534147,CNR2
C524478,CREBBP
C524478,CYP11A1
C524478,ESR1
C524478,FSHB
C524478,NCOA1
C524478,NOS3
C524478,PPARGC1A
C524478,TGFB1
C065734,CHRNA4
C065734,HTR3A
C015068,GABRA1
C015068,GABRB2
C015068,GABRG2
C015068,HTR1A
C015068,HTR2A
C015068,HTR2B
C015068,HTR2C
C038983,NFKB1
C038983,RELA
C051360,ADORA1
C051360,ADORA2A
C051360,ADORA2B
C051360,NISCH
C018406,ESR1
C018406,GABRA1
C018406,GABRB2
C018406,GABRG2
C018406,HTR1B
C018406,HTR2C
C452424,SLC6A3
C028474,AHR
C028474,CCNA2
C028474,CCND1
C028474,CCNE1
C028474,CDK2
C028474,CDK4
C028474,CDKN1A
C028474,CDKN1B
C028474,CYP2B10
C028474,CYP2B6
C028474,CYP3A4
C028474,CYP7A1
C028474,CYP8B1
C028474,E2F1
C028474,FOXM1
C028474,FOXO1
C028474,G6PC
C028474,GADD45B
C028474,HNF4A
C028474,MED1
C028474,MIR122
C028474,MYC
C028474,NCOA1
C028474,NCOA2
C028474,NCOA6
C028474,NR1H3
C028474,NR1I3
C028474,PPARGC1A
C028474,RXRA
C028474,TRP53
C524716,ACHE
C081949,OPRM1
C090859,PTGS2
C035342,ALB
C035342,CBR1
C035342,P4HB
C035342,TOP2A
C547349,OPRM1
C074153,CYP1A1
C074153,CYP1A2
C074153,CYP1B1
C074153,CYP2A13
C074153,CYP2A6
C484309,HRH4
C097240,ABCC1
C097240,CCL2
C097240,FOS
C097240,GCLC
C097240,IFNG
C097240,IL1B
C097240,JUN
C097240,LEP
C097240,NFKB1
C097240,NR3C1
C097240,PPARA
C097240,PPARG
C097240,PTGDR
C097240,PTGDR2
C097240,RELA
C097240,STAT1
C477819,CCL11
C477819,DNM1L
C477819,NFKB1
C477819,NR3C1
C477819,OPA1
C477819,PPARG
C477819,RELA
C477819,RXRA
C095653,PARP1
C095653,SIRT1
D015064,PTGER1
D015064,PTGER2
D015064,PTGER3
D015064,PTGER4
C060229,ADRA2A
C060229,CAMK2A
C060229,DRD3
C060229,EDN1
C060229,EDN3
C060229,EDNRB
C060229,GNAS
C060229,GPBAR1
C060229,NOS1
C060229,OXT
C060229,OXTR
C523983,CNR1
C410803,AR
D000077713,AR
D000077713,AR.L
D000077713,ESR1
D000077713,ESR2
D000077713,ESR2A
D000077713,ESR2B
D000077713,ESR2.L
D000077713,NR1I2
D000077713,NR3C1
D000077713,PGR
D000077713,PPARG
D000077713,THRA.L
C448659,HSP90AA1
C448659,NR3C1
C021183,CYP1A2
C524733,ACADSB
C524733,ACOX3
C524733,ADSL
C524733,AGL
C524733,BCKDHA
C524733,CHERP
C524733,CNOT1
C524733,CSTF1
C524733,FLAD1
C524733,FUBP1
C524733,FUCA1
C524733,HNRNPD
C524733,HNRNPDL
C524733,HSD17B4
C524733,LRP1
C524733,LYPLA2
C524733,MAPK1
C524733,MAPK3
C524733,PCBP1
C524733,POLR2B
C524733,RPS6KA3
C524733,SEC23B
C524733,SEC24C
C524733,SIRT2
C524733,UPF1
C062894,PPARG
C122128,ACHE
C092396,PTGER1
C023850,VDR
C036361,GRIA4
C523415,GRM4
C523415,GRM6
C523415,GRM8
C095756,GRM1
C006737,GABRA1
C006737,GABRB2
C006737,GABRG2
D020001,CHRNA2
D020001,CHRNA4
D020001,CHRNB2
D020001,CHRNB4
D020001,EGF
D020001,EGFR
D020001,GABRA1
D020001,GABRB2
D020001,GABRG2
D020001,HTR3A
D020001,HTR3B
D020001,OPRM1
D020001,PENK
D020001,PLD1
D020001,PLD2
D020001,PRKCA
D020001,SHAW
C095284,GUCY1A1
C095284,GUCY1B1
C087551,EDNRA
C087551,EDNRB
D015056,ADRA1A
D015056,ADRB1
D015056,ADRB2
D015056,CEBPB
