GeneSymbol,DiseaseID,InferenceScore
A,MESH:D003872,1
A,MESH:D003920,1
A,MESH:D003924,1
A,MESH:D004487,1
A,MESH:D005667,1
A,MESH:D006504,1
A,MESH:D006965,1
A,MESH:D007642,1
A,MESH:D008113,1
A,MESH:D009369,1
A,MESH:D009765,1
A,MESH:D010859,1
A,MESH:D011297,1
A1BG,MESH:D006529,1
A1BG,MESH:D012559,1
A2M,MESH:D058186,1
A2M,MESH:D000544,1
A2M,MESH:D006528,1
A2M,MESH:D003110,1
A2M,MESH:D006527,1
A2M,MESH:D008103,1
A2M,MESH:D008106,1
A2M,MESH:D008171,1
A2M,MESH:D008175,1
A2M,MESH:D009404,1
A2ML1,MESH:D010033,1
A4GALT,MESH:D002051,1
AAAS,MESH:D011471,1
AADAC,MESH:D008106,1
AADAT,MESH:D006528,1
AADAT,MESH:D008106,1
AANAT,MESH:D020178,1
AASS,MESH:D056486,1
ABAT,MESH:D001321,1
ABAT,MESH:D005764,1
ABAT,MESH:D053609,1
ABAT,MESH:D008106,1
ABAT,MESH:D009123,1
ABAT,MESH:D011596,1
ABAT,MESH:D012021,1
ABAT,MESH:D012640,1
ABCA1,MESH:D050197,1
ABCA1,MESH:D015179,1
ABCA1,MESH:D006937,1
ABCA1,MESH:D006938,1
ABCA1,MESH:D052456,1
ABCA1,MESH:D007676,1
ABCA1,MESH:D015473,1
ABCA1,MESH:D010523,1
ABCA10,MESH:D015179,1
ABCA12,MESH:D015179,1
ABCA13,MESH:D015179,1
ABCA13,MESH:D018450,1
ABCA3,MESH:D015179,1
ABCA3,MESH:D004646,1
ABCA3,MESH:D006976,1
ABCA3,MESH:D011658,1
ABCA4,MESH:D002971,1
ABCA4,MESH:D015179,1
ABCA4,MESH:D008268,1
ABCA4,MESH:D012174,1
ABCA5,MESH:D015179,1
ABCA6,MESH:D015179,1
ABCA6,MESH:D017449,1
ABCA7,MESH:D000544,1
ABCA7,MESH:D018450,1
ABCA8,MESH:D015179,1
ABCA8A,MESH:D008106,1
ABCA9,MESH:D015179,1
ABCB1,MESH:D018268,1
ABCB1,MESH:D001169,1
ABCB1,MESH:D001172,1
ABCB1,MESH:D001943,1
ABCB1,MESH:D002277,1
ABCB1,MESH:D006528,1
ABCB1,MESH:D002289,1
ABCB1,MESH:D056486,1
ABCB1,MESH:D015179,1
ABCB1,MESH:D018450,1
ABCB1,MESH:D064420,1
ABCB1,MESH:D004827,1
ABCB1,MESH:D004927,1
ABCB1,MESH:D004938,1
ABCB1,MESH:D006330,1
ABCB1,MESH:D019337,1
ABCB1,MESH:D007024,1
ABCB1,MESH:D007680,1
ABCB1,MESH:D008106,1
ABCB1,MESH:D016403,1
ABCB1,MESH:D001523,1
ABCB1,MESH:D009325,1
ABCB1,MESH:D009362,1
ABCB1,MESH:D009369,1
ABCB1,MESH:D009422,1
ABCB1,MESH:D009447,1
ABCB1,MESH:D020258,1
ABCB1,MESH:D009503,1
ABCB1,MESH:D010149,1
ABCB1,MESH:D010300,1
ABCB1,MESH:D010302,1
ABCB1,MESH:D010523,1
ABCB1,MESH:D011041,1
ABCB1,MESH:D054198,1
ABCB1,MESH:D000077195,1
ABCB1,MESH:D014178,1
ABCB1,MESH:D014839,1
ABCB10,MESH:D015179,1
ABCB11,MESH:D002779,1
ABCB11,MESH:D002780,1
ABCB11,MESH:C535933,1
ABCB11,MESH:D015179,1
ABCB11,MESH:D011537,1
ABCB1A,MESH:D009202,1
ABCB1A,MESH:D056486,1
ABCB1A,MESH:D003967,1
ABCB1A,MESH:D064420,1
ABCB1A,MESH:D006331,1
ABCB1A,MESH:D006949,1
ABCB1A,MESH:D007674,1
ABCB1A,MESH:D008106,1
ABCB1A,MESH:D010146,1
ABCB1A,MESH:D015427,1
ABCB1A,MESH:D012640,1
ABCB1A,MESH:D013226,1
ABCB1B,MESH:D000077192,1
ABCB1B,MESH:D001943,1
ABCB1B,MESH:D056486,1
ABCB1B,MESH:D004195,1
ABCB1B,MESH:D019446,1
ABCB1B,MESH:D008113,1
