ID,count2
18827,3
18828,1
18829,1
18830,1
18831,2
18832,1
18833,1
18834,1
18835,3
18836,1
18837,4
18838,1
18839,2
18840,1
18841,1
18842,3
18843,1
18844,2
18845,1
18846,1
18847,1
18848,3
18849,1
18850,1
18851,1
18852,1
18853,2
18854,1
18855,1
18856,1
18857,3
18858,1
18859,1
18860,1
18861,1
18862,6
18863,1
18864,3
18865,1
18866,1
18867,3
18868,1
18869,2
18870,3
18871,2
18872,3
18873,2
18874,1
18875,1
18876,1
18877,1
18878,1
18879,1
18880,1
18881,1
18882,1
18883,1
18884,6
18885,1
18886,1
18887,1
18888,2
18889,1
18890,2
18891,3
18892,1
18893,2
18894,4
18895,1
18896,1
18897,1
18898,1
18899,1
18900,1
18901,1
18902,1
18903,1
18904,1
18905,1
18906,2
18907,1
18908,3
18909,1
18910,1
18911,2
18912,2
18913,1
18914,1
18915,2
18916,2
18917,1
18918,2
18919,1
18920,2
18921,3
18922,2
18923,3
18924,2
18925,1
18926,2
18927,1
18928,1
18929,1
18930,1
18931,1
18932,4
18933,6
18934,11
18935,6
18936,5
18937,1
18938,2
18939,19
18940,1
18941,8
18942,1
18943,4
18944,2
18945,4
18946,16
18947,10
18948,2
18949,11
18950,1
18951,27
18952,26
18953,10
18954,1
18955,1
18956,6
18957,11
18958,1
18959,1
18960,1
18961,1
18962,10
18963,2
18964,5
18965,47
18966,5
18967,1
18968,10
18969,4
18970,4
18971,1
18972,2
18973,29
18974,14
18975,1
18976,2
18977,3
18978,1
18979,6
18980,5
18981,2
18982,3
18983,88
18984,22
18985,8
18986,1
18987,1
18988,1
18989,1
18990,7
18991,2
18992,1
18993,2
18994,3
18995,1
18996,2
18997,13
18998,1
18999,1
19000,1
19001,7
19002,6
19003,5
19004,21
19005,6
19006,84
19007,10
19008,6
19009,31
19010,4
19011,14
19012,6
19013,3
19014,70
19015,2
19016,8
19017,1
19018,157
19019,5
19020,10
19021,24
19022,27
19023,35
19024,13
19025,8
19026,11
19027,6
19028,9
19029,4
19030,4
19031,16
19032,12
19033,1
19034,1
19035,6
19036,2
19037,73
19038,3
19039,7
19040,1
19041,24
19042,1
19043,1
19044,34
19045,4
19046,5
19047,3
19048,34
19049,2
19050,1
19051,5
19052,126
19053,1
19054,4
19055,10
19056,1
19057,6
19058,2
19059,3
19060,1
19061,1
19062,22
19063,1
19064,10
19065,2
19066,1
19067,1
19068,172
19069,2
19070,15
19071,21
19072,2
19073,3
19074,37
19075,52
19076,14
19077,11
19078,85
19079,6
19080,19
19081,1
19082,15
19083,1
19084,3
19085,1
19086,2
19087,84
19088,4
19089,9
19090,36
19091,1
19092,1
19093,8
19094,3
19095,67
19096,23
19097,21
19098,42
19099,1
19100,41
19101,19
19102,16
19103,2
19104,21
19105,1
19106,80
19107,9
19108,5
19109,6
19110,3
19111,2
19112,27
19113,69
19114,10
19115,1
19116,1
19117,3
19118,7
19119,7
19120,3
19121,87
19122,6
19123,3
19124,30
19125,3
19126,78
19127,5
19128,4
19129,5
19130,1
19131,15
19132,2
19133,4
19134,9
19135,11
19136,7
19137,2
19138,2
19139,15
19140,1
19141,2
19142,2
19143,9
19144,7
19145,18
19146,31
19147,4
19148,3
19149,1
19150,3
19151,126
19152,6
19153,4
19154,34
19155,3
19156,42
19157,105
19158,31
19159,1
19160,286
19161,8
19162,2
19163,13
19164,5
19165,1
19166,1
19167,17
19168,11
19169,10
19170,3
19171,3
19172,5
19173,1
19174,1
19175,19
19176,1
19177,13
19178,3
19179,1
19180,14
19181,4
19182,11
19183,1
19184,1
19185,1
19186,2
19187,28
19188,2
19189,1
19190,4
19191,7
19192,1
19193,9
19194,6
19195,57
19196,1
19197,5
19198,13
19199,42
19200,4
19201,79
19202,1
19203,38
19204,63
19205,32
19206,2
19207,12
19208,4
19209,31
19210,29
19211,66
19212,2
19213,3
19214,1
19215,9
19216,244
19217,13
19218,22
19219,38
19220,9
19221,8
19222,4
19223,53
19224,1
19225,13
19226,18
19227,4
19228,9
19229,2
19230,2
19231,5
19232,5
19233,1
19234,1
19235,1
19236,1
19237,24
19238,27
19239,81
19240,24
19241,5
19242,15
19243,2
19244,1
19245,32
19246,4
19247,2
19248,1
19249,25
19250,1
19251,19
19252,7
19253,5
19254,9
19255,5
19256,2
19257,3
19258,51
19259,12
19260,1
19261,1
19262,3
19263,20
19264,1
19265,1
19266,4
19267,17
19268,1
19269,1
19270,1
19271,4
19272,4
19273,10
19274,7
19275,8
19276,4
19277,4
19278,2
19279,126
19280,6
19281,94
19282,49
19283,1
19284,1
19285,5
19286,3
19287,127
19288,1
19289,1
19290,1
19291,20
19292,1
19293,9
19294,5
19295,5
19296,17
19297,1
19298,5
19299,2
19300,12
19301,15
19302,4
19303,8
19304,6
19305,1
19306,3
19307,51
19308,41
19309,9
19310,11
19311,3
19312,7
19313,32
19314,8
19315,2
19316,25
19317,6
19318,1
19319,7
19320,3
19321,5
19322,10
19323,2
19324,27
19325,3
19326,1
19327,3
19328,48
19329,2
19330,1
19331,5
19332,1
19333,1
19334,17
19335,6
19336,1
19337,2
19338,4
19339,7
19340,26
19341,25
19342,15
19343,6
19344,6
19345,5
19346,2
19347,61
19348,183
19349,15
19350,4
19351,1
19352,13
19353,26
19354,15
19355,12
19356,9
19357,7
19358,37
19359,86
19360,13
19361,1
19362,64
19363,19
19364,81
19365,37
19366,22
19367,73
19368,2
19369,2
19370,3
19371,1
19372,2
19373,8
19374,94
19375,2
19376,11
19377,4
19378,2
19379,1
19380,15
19381,13
19382,1
19383,20
19384,4
19385,2
19386,32
19387,3
19388,1
19389,7
19390,1
19391,5
19392,2
19393,3
19394,3
19395,155
19396,21
19397,3
19398,24
19399,26
19400,48
19401,1
19402,2
19403,1
19404,1
19405,3
19406,2
19407,5
19408,1
19409,12
19410,284
19411,8
19412,3
19413,8
19414,15
19415,1
19416,12
19417,1
19418,6
19419,46
19420,2
19421,1
19422,13
19423,53
19424,6
19425,2
19426,8
19427,20
19428,2
19429,33
19430,2
19431,12
19432,3
19433,1
19434,2
19435,6
19436,8
19437,33
19438,5
19439,1
19440,1
19441,76
19442,22
19443,10
19444,35
19445,16
19446,21
19447,13
19448,1
19449,1
19450,20
19451,4
19452,4
19453,10
19454,5
19455,38
19456,6
19457,5
19458,36
19459,11
19460,13
19461,12
19462,3
19463,3
19464,31
19465,2
19466,6
19467,1
19468,2
19469,1
19470,3
19471,5
19472,2
19473,4
19474,3
19475,1
19476,8
19477,1
19478,2
19479,7
19480,8
19481,25
19482,1
19483,1
19484,14
19485,1
19486,117
19487,30
19488,1
19489,1
19490,1
19491,1
19492,2
19493,1
19494,7
19495,9
19496,1
19497,17
19498,3
19499,1
19500,97
19501,2
19502,1
19503,1
19504,6
19505,106
19506,10
19507,3
19508,2
19509,1
19510,21
19511,4
19512,2
